time,ch1,ch2,ch3,ch4
15.08.2017 19:55:47.254,-6,-8,-280,37
15.08.2017 19:55:47.504,-6,-2,132,41
15.08.2017 19:55:47.754,-16,-14,30,43
15.08.2017 19:55:48.004,5,-13,-301,41
15.08.2017 19:55:48.254,-6,14,60,38
15.08.2017 19:55:48.504,-6,-3,90,31
15.08.2017 19:55:48.758,-14,-10,-263,32
15.08.2017 19:55:49.258,-32,7,109,30
15.08.2017 19:55:49.508,5,-3,-245,42
15.08.2017 19:55:49.758,-5,-11,-91,41
15.08.2017 19:55:50.008,-8,-14,211,53
15.08.2017 19:55:50.258,5,-13,-201,6
15.08.2017 19:55:50.508,-17,-19,-182,-9
15.08.2017 19:55:50.758,-14,-8,185,18
15.08.2017 19:55:51.008,15,-3,-146,-19
15.08.2017 19:55:51.258,-6,-13,-267,-5
15.08.2017 19:55:51.508,5,3,169,14
15.08.2017 19:55:51.758,7,-21,-51,34
15.08.2017 19:55:52.008,2,23,-323,0
15.08.2017 19:55:52.258,5,-20,127,14
15.08.2017 19:55:52.508,-6,3,49,14
15.08.2017 19:55:52.747,6,-14,-291,5
15.08.2017 19:55:52.997,3,-23,90,47
15.08.2017 19:55:53.247,-5,-9,99,28
15.08.2017 19:55:53.497,-6,-1,-279,41
15.08.2017 19:55:53.747,-17,-7,-19,48
15.08.2017 19:55:53.997,5,8,158,43
15.08.2017 19:55:54.247,-5,-12,-240,42
15.08.2017 19:55:54.497,-7,10,-147,28
15.08.2017 19:55:54.747,-4,-16,202,27
15.08.2017 19:55:54.997,-6,18,-210,32
15.08.2017 19:55:55.247,-7,-16,-198,44
15.08.2017 19:55:55.497,-6,-16,194,56
15.08.2017 19:55:55.747,6,8,-1500,44
15.08.2017 19:55:55.997,16,-25,-256,42
15.08.2017 19:55:56.247,5,1,183,39
15.08.2017 19:55:56.497,-6,-15,-8,9
15.08.2017 19:55:56.754,8,44,-260,8
15.08.2017 19:55:57.004,14,-25,188,-5
15.08.2017 19:55:57.254,5,19,35,20
15.08.2017 19:55:57.504,27,13,-302,15
15.08.2017 19:55:57.754,16,-22,108,21
15.08.2017 19:55:58.004,4,6,54,32
15.08.2017 19:55:58.254,-5,5,-286,4
15.08.2017 19:55:58.504,5,-9,40,4
15.08.2017 19:55:58.754,5,0,113,7
15.08.2017 19:55:59.004,-8,-29,-260,32
15.08.2017 19:55:59.254,-5,-11,-69,18
15.08.2017 19:55:59.504,-14,-1,149,21
15.08.2017 19:55:59.754,-20,-30,-225,44
15.08.2017 19:56:00.004,-18,-13,-145,41
15.08.2017 19:56:00.254,-6,3,191,49
15.08.2017 19:56:00.504,-18,20,-156,31
15.08.2017 19:56:00.758,-23,-61,-212,43
15.08.2017 19:56:01.008,-10,38,201,23
15.08.2017 19:56:01.258,-16,-14,-89,32
15.08.2017 19:56:01.508,-17,-17,-270,35
15.08.2017 19:56:01.758,-5,-9,163,39
15.08.2017 19:56:02.008,16,-16,-41,44
15.08.2017 19:56:02.508,3,-56,97,44
15.08.2017 19:56:02.758,-5,-2,61,20
15.08.2017 19:56:03.008,15,17,-271,-16
15.08.2017 19:56:03.258,5,23,40,4
15.08.2017 19:56:03.508,16,0,123,7
15.08.2017 19:56:03.758,16,-5,-266,46
15.08.2017 19:56:04.008,5,48,-2,25
15.08.2017 19:56:04.258,NaN,NaN,NaN,NaN
15.08.2017 19:56:04.508,5,-7,-237,14
15.08.2017 19:56:04.758,27,9,-89,22
15.08.2017 19:56:05.008,4,-30,183,32
15.08.2017 19:56:05.258,16,-10,-181,15
15.08.2017 19:56:05.508,-6,-16,-221,32
15.08.2017 19:56:05.758,-5,2,194,39
15.08.2017 19:56:06.008,-7,-12,-80,39
15.08.2017 19:56:06.258,-5,-21,-284,40
15.08.2017 19:56:06.508,-6,22,198,29
15.08.2017 19:56:06.758,-5,-25,-56,45
15.08.2017 19:56:07.008,-20,53,-272,32
15.08.2017 19:56:07.258,-26,-7,117,26
15.08.2017 19:56:07.508,-20,-17,42,43
15.08.2017 19:56:08.008,-8,-35,97,74
15.08.2017 19:56:08.258,-5,15,74,36
15.08.2017 19:56:08.508,5,-13,-301,18
15.08.2017 19:56:08.758,-14,10,56,10
15.08.2017 19:56:09.008,4,-41,78,-5
15.08.2017 19:56:09.258,5,3,-248,-20
15.08.2017 19:56:09.508,5,8,-55,-5
15.08.2017 19:56:09.758,16,-7,149,15
15.08.2017 19:56:10.258,-8,30,-74,7
15.08.2017 19:56:10.508,-18,-3,212,31
15.08.2017 19:56:10.758,16,2,-178,17
15.08.2017 19:56:11.008,4,-18,-190,32
15.08.2017 19:56:11.258,5,1,186,18
15.08.2017 19:56:11.508,-17,-8,-116,25
15.08.2017 19:56:11.758,-5,14,-221,38
15.08.2017 19:56:12.008,-7,-19,165,46
15.08.2017 19:56:12.258,5,12,-34,39
15.08.2017 19:56:12.508,-5,-5,-275,47
15.08.2017 19:56:13.004,1,-5,-34,-1
15.08.2017 19:56:13.254,-7,6,-288,45
15.08.2017 19:56:13.504,5,0,64,40
15.08.2017 19:56:13.754,-5,-5,93,35
15.08.2017 19:56:14.004,5,-2,-267,53
15.08.2017 19:56:14.254,16,-14,0,41
15.08.2017 19:56:14.504,-6,-1,153,29
15.08.2017 19:56:14.754,-5,-6,-244,25
15.08.2017 19:56:15.004,-8,-6,-108,8
15.08.2017 19:56:15.254,16,1,194,4
15.08.2017 19:56:15.504,16,0,-187,7
15.08.2017 19:56:15.754,6,-5,-140,24
15.08.2017 19:56:16.004,15,29,194,20
15.08.2017 19:56:16.254,-5,10,-133,20
15.08.2017 19:56:16.504,-17,3,-214,14
15.08.2017 19:56:16.754,16,-2,193,0
15.08.2017 19:56:17.004,4,-6,-61,32
15.08.2017 19:56:17.254,-6,1,-257,5
15.08.2017 19:56:17.504,-5,-16,164,0
15.08.2017 19:56:18.004,-9,-20,-289,19
15.08.2017 19:56:18.254,-17,3,104,49
15.08.2017 19:56:18.504,-5,-10,36,40
15.08.2017 19:56:18.754,-15,-8,-285,50
15.08.2017 19:56:19.004,-20,5,43,32
15.08.2017 19:56:19.254,-40,-20,104,26
15.08.2017 19:56:19.504,-16,1,-274,29
15.08.2017 19:56:19.754,-5,-6,-11,26
15.08.2017 19:56:20.004,-8,-6,159,57
15.08.2017 19:56:20.254,5,-9,-236,60
15.08.2017 19:56:20.504,-3,23,-75,19
15.08.2017 19:56:20.863,5,-6,175,34
15.08.2017 19:56:21.113,-10,-12,-166,-16
15.08.2017 19:56:21.363,16,12,-156,7
15.08.2017 19:56:21.613,16,14,202,14
15.08.2017 19:56:21.863,27,2,-146,17
15.08.2017 19:56:22.113,15,32,-203,17
15.08.2017 19:56:22.363,5,-1,187,41
